"MCC","Название","Описание"
"5074","Оборудование для водопровода и отопительной системы","Оптовые распространители гидравлического оборудования и сопутствующих товаров для водопроводной и отопительной систем. Товары для продажи могут включать вентили, хомуты, оснастку, конвекторы, котлы, медные товары, панели и оборудование для солнечного отопления, и водонагреватели. Для оптовых продавцов торгового морозильного оборудования и сопутствующих товаров, или электроприборов, таких как газовые и электрические кухонные плиты и торговые печи, используется МСС 5046."
"5085","Промышленное оборудование –нигде более не классифицированное","Оптовые распространители промышленного оборудования, нигде более не классифицированные. Товары для продажи могут включать абразивные материалы, опоры, коробки, металлическая, стеклянная и керамическая тара, контейнеры, пробки, сальники, резиновые втулки, гидравлические вентили, шланги, поршни, цепные колеса, втулки. бутылки (стеклянные или пластиковые), промышленная подгонка, канатно-веревочные изделия, шпагат и трос, металлические крышки, печатная краска для принтеров, гравировальное оборудование, кожаные ремни, сопутствующие товары для станков, ведра, резиновые товары, сопутствующие товары для печатания на ткани, и металлические бочки."
"5094","Драгоценные камни и металлы, часы и ювелирные изделия","Оптовые торговцы ювелирных изделий, часов, драгоценных камней и металлов. Товары для продажи могут включать дешевые украшения, часы и детали часов, изделия из серебра, жемчуга, бриллианты и другие драгоценные камни, золото, платину и другие драгоценные металлы, и трофеи. Такие торговые точки могут предлагать или не предлагать работы по ремонту. Для торговых точек, занимающихся ремонтом, используется МСС 7699. Для розничных торговцев предметами, перечисленными здесь, используется МСС 5944."
"5099","Товары длительного пользования – нигде более не классифицированные","Оптовые распространители товаров длительного пользования, нигде более не классифицированные. Товары для продажи могут включать огнетушители, пожарная сигнализация, газовые зажигалки, записанные кассеты, топливная древесина, лесоматериалы, древесная стружка, неэлектрические вывески, музыкальные инструменты, и багаж. 
Для оптовых поставщиков электрических вывесок, используется МСС 5065."
"5111","Канцелярия, офисные сопутствующие товары, бумага для печатания и письма","Оптовые поставщики канцелярии, офисных принадлежностей, и бумаги для печатания и письма. Товары для продажи могут включать деловые формы, копировальное оборудование, регистрационные карточки и папки-скоросшиватели, ручки, карандаши, конверты, ленты для печатных машинок и принтеров, скоросшиватели, квитанционные книжки и книги продаж, альбомы для фотографий и для наклеивания газетных вырезок. 
Для торговцев офисными машинами, такими, как печатные и копировальные машины, и для торговых точек, предлагающих копировальные услуги, используется МСС 5044. 
Для оптовых торговцев офисной мебелью, используется МСС 5021."
"5122","Лекарства, их распространители, аптеки","Оптовые распространители предписанных и запатентованных лекарств, витаминов, гигиенической косметики, антисептиков, перевязочных материалов, фармацевтической продукции, биологических и подобных товаров, и других разнообразных мелких товаров, типичных для продажи в аптеках. 
Для оптовых торговцев хирургическими, больничными, или стоматологическими товарами, используется МСС 5047."
"5131","Штучные товары, галантерея и другие текстильные товары","Оптовые поставки штучных и текстильных товаров. Сюда относятся: марля, мануфактурные товары, изделия из стекловолокна, застежки-молнии, натуральные или синтетические ткани, продаваемые по ярду, комплекты для сборки поясов и пряжек, текстильные соединения, пуговицы, трикотажные и кружевные полотна, ленты, швейные принадлежности, нитки и отделочные ткани. 
Для оптовых поставок гардин или других  портьерных тканей используется MCC 5719."
"5137","Мужская, женская и детская спецодежда","Оптовые поставки рабочей одежды и всех видов мужской, женской и детской спецодежды, включая обувь, дневное белье, плащи, мантии и шапочки для выпускников колледжей, форменную одежду для занятий спортом (для балета, каратэ, футбола и т.д.), а также форму для частных или религиозных учебных заведений.
Для оптовых поставщиков спец-обуви используется MCC 5139. 
Для розничных торговцев, специализирующихся на продаже одежды и аксессуаров используется соответственно розничный MCC."
"5139","Спец-обувь","Оптовые поставки туфель и ботинок специального назначения, включая спортивную обувь. Для розничных торговцев обувью используется MCC 5661"
"5169","Химикалии и смежные вещества - нигде более не классифицированные","Оптовые поставки химикалий и смежных веществ, не подпавших под другую категорию. Обычно используются в промышленности. Сюда относятся: промышленные кислоты, аммиак и спирт, тяжелые, ароматические и другие хим. соединения, хлорин, сжатые и сжиженные газы, детергенты, присадки к топливу и присадки для смазочных масел, полимеры, соли, скипидар, уплотнители, антикоррозионные химические вещества, пековые продукты, сухой лед, красители, клей, желатин и взрывчатые вещества. 
Для розничной торговли пиротехническими изделиями используется MCC 5999. 
Продавцам хим. веществ для чистки и санитарной обработки присваивается MCC 2842."
"5172","Нефть и нефтепродукты","Оптовые поставки нефти и нефтепродуктов, таких как: бутан, сырая нефть, мазут(жидкое топливо), бензин, керосин, смазочные масла и жиры и нафта(тяжелый бензин). Сюда также относятся поставщики услуг по заправке самолетов. Для розничной торговли жидким топливом, печным топливом, лесом, углем или пропаном используется MCC 5983."
"5192","Книги, периодические издания и газеты","Оптовые производители и поставщики книг, периодических изданий, журналов и газет. Для издательств книг, периодики и журналов используется MCC 2741. Для розничной продажи книг используется MCC 5942."
"5193","Принадлежности для флористов, питомник и цветы","Оптовые дистрибьюторы цветов, материалов для питомников и флористов, свежих и искусственных цветов и горшечных растений.
Для розничных магазинов цветов и растений используется MCC 5992."
"5198","Лакокрасочная продукция и сопровождающие товары","Оптовые поставки красок, лаков, обоев и сопровождающих товаров. Ассортимент включает краски и красители, эмали, лаки, кисти для красок, баночки для красок, наждачную бумагу, шеллак,  валики, распылители  и т.д. 
Для розничной торговли вышеупомянутыми товарами используется MCC 5231."
"5199","Товары недлительного пользования - нигде более не классифицированные","Оптовые дистрибьюторы товаров недлительного пользования, не классифицированные в других MCC. Ассортимент товаров таких торговцев может включать в себя продукты питания, предметы искусства и ремесла, вешалки для одежды, пенорезину, лед, сырую резину, губки, текстильные мешки, мешковину, холщовые изделия, корзины, подарки и новинки, кожа и режущие материалы, а также другие кожаные изделия, кроме обуви.
Для оптовиков, которые в основном продают кожаную обувь, используется MCC 5139.
Для продавцов, которые продают предметы искусства и ремесла, используется MCC 5970; для продавцов подарков и сувениров используется MCC 5947."
"5200","Товары для дома","Торговые точки, ориентированные на широкую публику, предлагающие богатый выбор товаров для дома, таких как: обои, краски, лесоматериал, садовые принадлежности, электрические и осветительные приборы, а также декорирующие материалы. Эти торговые точки предлагают как ""готовые"" товары, например, раковины, шкафчики и двери, так и наборы ""Сделай сам""."
"5211","Лесо- и строительный материал","Продажа в розницу лесо- и строительного материала. Сюда относятся также строительные компании, предлагающие свою продукцию подрядчиком, а не широкой публике. К товарам, выставляемым на продажу здесь относятся: лесоматериал, незаконченные изделия из дерева, осветительные материалы, цемент, песок, гравий, строительные или электрические материалы, кирпичи, ограждения, трубы, стекловолокно и прессформы. Для крупных складов или сети магазинов, торгующих товарами для дома со скидкой, рассчитанных на широкую публику, используется MCC 5200. Для подрядчиков используется наиболее подходящее MCC из ""Договорных услуг"""
"5231","Розничная продажа стекла, красок и обоев","Продажа в розницу стекла, красок и малярных принадлежностей, обоев и сопутствующих товаров. Для оптовых поставщиков малярных принадлежностей используется MCC 5039."
"5251","Скобяные товары в розницу","Торговые точки, которые продают скобяные товары в полном ассортименте для широкой публики. Сюда относятся такие товары, как: мелкие электрические приборы, провода, гайки, болты, гвозди, шурупы, молотки, отвертки и другие мелкие инструменты, кольцевые прокладки, ключи, лампочки, скобы и сантехническое оборудование. Для крупных складов или сети магазинов, торгующих товарами для дома со скидкой, рассчитанных на широкую публику, используется MCC 5200."
"5261","Садовые принадлежности (в том числе для ухода за газонами) в розницу","Продажа инвентаря для цветочных питомников, саженцев деревьев и кустарника, растений в горшках, семян, луковиц, мульчи, почвоулучшителей, удобрений, пестицидов, садового инвентаря и  других садовых принадлежностей"
"5262","Маркетплейсы","Точки, классифицируемые этим MCC, являются онлайн-площадками, которые объединяют держателей карт и розничных продавцов, продающих ряд товаров или услуг, которые могут быть классифицированы разными MCC, на одном веб-сайте или в мобильном приложении под единым брендом, который используется для идентификации покупателями. Торговые площадки с одной линией товаров или услуг должны использовать MCC, который наиболее точно описывает эту сферу деятельности.

MCC пока объявлен только в документации Visa."
"5271","Продажа жилых фургонов","Торговые точки, занимающиеся продажей новых и б/у жилых фургонов, зап. частей, комплектующих и оборудования к ним."
"5292","Категория неизвестна","Код не найден в документации ни одной из платёжных систем, но находится в списках mcc-кодов для категории ""Аптеки"" у некоторых банков."
"5295","Категория неизвестна","Код не найден в документации ни одной из платёжных систем, но находится в списках mcc-кодов для категории ""Аптеки"" у некоторых банков."
"5297","Retail Internet Volume","Код не найден в документациях, но включен в список кодов категории ""Супермаркеты"" некоторых банков"
"5298","Internet Shopping Grocery Store","Код не найден в документациях, но включен в список кодов категории ""Супермаркеты"" некоторых банков"
"5300","Оптовики","Склады, специализирующиеся на продаже товаров массового потребления, предлагающие  широкий ассортимент товаров оптом по низким ценам. Такие торговые точки могут иметь или не иметь определенные требования к количеству участников ""оптового клуба"". Изделия для продажи включают бытовые принадлежности и электроприборы, офисное оборудование, сушеные бакалейные и скоропортящиеся товары, мебель для дома и офиса, электротовары , автозапчасти и аксессуары."
"5309","Беспошлинные магазины Duty Free","Магазины, торгующие различными сувенирами и импортными товарами, освобожденными от таможенных пошлин, такими как: драгоценности, косметика, табачные и спиртные изделия. Обычно такие торговые точки располагаются в здании аэропорта и отелях."
"5310","Магазины, торгующие по сниженным ценам","Продажа разнообразных товаров по сниженным ценам. Сюда относится одежда, посуда, бытовое оборудование, принадлежности для личной гигиены и электроприборы. Такие торговые точки обычно находятся у входа в магазин, они рекламируют и продают товары по низким ценам ."
"5311","Универмаги","Крупные торговые точки, имеющие широкий ассортимент товаров в различных секциях с отдельными кассами. Здесь продается одежда, бытовое оборудование, мебель, электроприборы, косметика, посуда и основные бытовые принадлежности"
"5331","Универсальные магазины","Торговцы, предлагающие разнообразный, но ограниченный выбор товаров в низком или популярном ценовом диапазоне. Такие магазины, как правило, не узкоспециализированные, не предлагают проприетарную плату или кредитные карты и не доставляют товар. Универсальные магазины предлагают товары, похожие на проданные дисконтными магазинами, но работают в гораздо меньших масштабах."
"5399","Различные товары общего назначения","Мелкие торговые точки и магазины среднего звена с широким ассортиментом товаров в различных секциях с отдельными кассами. Здесь торгуют одеждой, текстильными  и скобяными товарами, посудой, бытовыми принадлежностями, электроприборами, мебелью и косметикой. Такие торговые точки предоставляют скидки или отпускают товары в кредит, осуществляют доставку покупок.и продажу со складов. Магазины различных товаров общего назначения предлагают такой же ассортимент товаров, как и универмаги, но в гораздо меньшем обьеме."
"5411","Бакалейные магазины, супермаркеты","Торговые точки, которые продают полную линейку продуктов питания для домашнего потребления. Пищевые продукты для продажи включают бакалейные товары, мясо, продукты, молочные продукты и консервированные, замороженные, предварительно упакованные и сухие продукты. Также продукты для продажи могут включать ограниченный выбор посуды, чистящих и полирующих изделий, средств личной гигиены, косметики, поздравительных открыток, книг, журналов, предметов домашнего обихода и сухих товаров. Эти точки также могут управлять специализированными отделами, такими как лавка деликатесов, мясная лавка, аптека или цветочный отдел.
Для магазинов, которые продают ограниченный выбор продуктов или предметов специальности, используется MCC 5499."
"5412","Гибридные супермаркеты","Код не найден в документациях, но включен в список кодов категории ""Супермаркеты"" некоторых банков"
"5415","Категория неизвестна","Код не найден в документации ни одной из платёжных систем, но находится в списках mcc-кодов для категории Дом/Строительство у некоторых банков."
"5422","Продажа свежего и мороженого мяса","Продажа свежего, замороженного или консервированного мяса и рыбы, моллюсков и других морепродуктов. Сюда относятся также торговые точки, осуществляющие массовые розничные продажи мяса для хранения в замороженном виде. Такие мясные магазины могут продавать мясо либо собственного скота, либо закупать мясо через другие фирмы. 
Для магазинов домашней птицы используется MCC 5499."
"5441","Кондитерские","Продажа конфет, шоколада, орешков, сухофруктов, попкорна и др."
"5451","Продажа молочных продуктов в розницу","Торговые точки, непосредственно продающие расфасованные молочные продукты. Сюда относятся: масло, сыр, расфасованное мороженое и молоко."
"5462","Булочные","Торговые точки, продающие хлебобулочные изделия, а также изготавливающие продукцию на заказ. Сюда относятся: рогалики, хлеб, пирожные, пончики, изделия из слоеного теста, булочки и свадебные торты."
"5499","Различные продовольственные магазины - нигде более не классифицированные","Торговые точки, продающие продукты, не классифицированные в других категориях. Сюда относятся: специализированные продовольственные рынки, магазины диетических продуктов, деликатесов, домашней птицы, кофейни, овощные и фруктовые рынки, а также магазины мороженого, йогуртов и полуфабрикатов и небольшие магазины у дома. 
Для магазинов, которые также продают автомобильный бензин, используется MCC 5541. 
Для точек, которые в основном продают мясо и морепродукты, используется MCC 5422."
"5511","Легковой и грузовой транспорт – продажа, сервис, ремонт, запчасти и лизинг.","Магазины, продающие новые и подержанные автомобили, грузовики, пикапы и микроавтобусы. Эти торговые точки могут также производить ремонтные работы и предоставлять запчасти и аксессуары в ассортименте. 
Для точек, специализирующихся на ремонтных работах, используется МСС 7538."
"5521","Продажа легковых и грузовых автомобилей (только подержанных)","Магазины, торгующие только подержанными автомобилями и грузовиками,  не осуществляющие продажу новых автотранспортных средств.Сюда относятся: подержанные пикапы, микроавтобусы, антикварные и старинные автомобили."
"5531","Автомагазины и товары для дома","Торговые точки, продающие различные товары для дома, а также для ремонта и усовершенствования автомобилей. Сюда относятся: новые автошины, аккумуляторы и другие автозапчасти и аксессуары, а также бытовые принадлежности, оборудование и техника. 
Для торговых точек, реализующих товары и принадлежности для дома со склада, используется МСС 5200. 
Для магазинов, продающих автозапчасти, оборудование и сопутствующие аксессуары, используется МСС 5533."
"5532","Автошины","Торговые точки, продающие шины для автомобилей и грузовиков, а также сопутствующие запасные части. Эти магазины производят также замену шин и ремонтное обслуживание. 
Для торговых точек, специализирующихся на восстановлении протекторов и починке шин, используется МСС 7534."
"5533","Автозапчасти и аксессуары","Торговые точки, продающие автозапчасти, оборудование и аксессуары. Сюда относятся: масла и масляные фильтры, запчасти, глушители, чистящие и полирующие средства, свечи зажигания, освежители, стеклоочистители и краски. В отдельных случаях здесь также могут продаваться автомагнитолы и усилители.
Для магазинов, специализирующихся на продаже автомагнитол и усилителей, используется МСС 5732."
"5541","Заправочные станции (с вспомогательными услугами или без)","Торговые точки, которые продают топливо для потребительского использования и могут или не могут также иметь на территории магазин, автомойку или авторемонтную мастерскую. Этот MCC включает станции техобслуживания, расположенных в гавани, у которых есть отдельное торговое соглашение от торгового терминала.
Для транзакций, совершаемых на автоматических заправочных станциях, используется MCC 5542."
"5542","Автоматические заправочные станции","Торговые точки, которые продают автомобильный бензин, используя, как правило, автоматические топливораздаточные колонки, позволяя держателям карт оплачивать топливо на колонке."
"5551","Продажа лодок","Торговые точки, продающие новые и подержанные плавсредства, водные принадлежности и подвесные моторы. Сюда относятся: моторные лодки, катера, парусники, рыболовные суда, специализированные лодки для занятия водными лыжами."
"5552","Зарядка электромобилей","Точки, продающие электроэнергию с целью заправки автомобилей"
"5561","Дома- автоприцепы, жилые неразборные и грузовые прицепы","Торговые точки, продающие новые и подержанные дома-автоприцепы, прицепы для отдыха и грузовые прицепы. Сюда относятся: жилые неразборные прицепы, прицепы с откидным верхом,    сопутствующие запчасти и аксессуары."
"5571","Продажа мотоциклов","Торговые точки, продающие новые и подержанные мотоциклы, скутеры, мопеды, сопутствующие запчасти, оборудование и аксессуары. В отдельных случаях здесь также могут продаваться: шлемы, одежда для мотоциклистов – куртки, брюки, головные уборы и перчатки."
"5592","Продажа домов на колесах","Торговые точки, продающие новые и подержанные дома на колесах и сопутствующие запчасти и аксессуары. 
Для домов-автоприцепов и жилых неразборных прицепов используется МСС 5561."
"5598","Продажа снегоходов","Используется исключительно для торговых точек, продающих новые и подержанные снегоходы, сопутствующие запчасти и аксессуары."
"5599","Продажа различного рода автомобилей, авиа- и с/х оборудования - нигде более не классифицированные","Торговые точки, занимающиеся продажей новых и б/у автомобилей, авиасредств и с/х техники, запчастей к ним, оборудования и  сопутствующих товаров. На продажу здесь могут выставляться вездеходы, багги с широкопрофильными шинами, миниавтомобили для гольфа, легкие открытые коляски, снегоходы, тракторы, комбайны и уборочные машины"
"5611","Мужская одежда и аксессуары, включая одежду для мальчиков","Продажа готовой мужской одежды и аксессуаров, включая одежду для мальчиков. Сюда также относятся торговые точки, занимающиеся продажей галстуков, и магазины головных уборов"
"5621","Готовая женская одежда","Продажа разнообразной готовой одежды для женщин, например, платьев, брюк, костюмов и пальто. Сюда относятся и магазины, специализирующиеся на продаже свадебных платьев или одежды для беременных."
"5631","Аксессуары для женщин","Продажа различных женских аксессуаров, включая сумочки, головные уборы, дешевые украшения, шарфы, пояса, заколки для волос и береты, белье, колготки и чулки."
"5641","Детская одежда, включая одежду для самых маленьких","Продажа детской одежды, принадлежностей и аксессуаров."
"5651","Одежда для всей семьи","Торговые точки, занимающиеся продажей мужской, женской и детской одежды, принадлежностей и аксессуаров, не специализируясь на конкретной половой или возрастной категории. Сюда же относятся магазины джинсовой или кожаной одежды и магазины одежды для мужчин  и женщин."
"5655","Спортивная одежда, одежда для верховой езды и езды на мотоцикле","Продажа одежды для людей, ведущих активный образ жизни, одежды для занятий спортом, легкой атлетикой, верховой ездой или для езды на мотоцикле. Такие торговые точки могут специализироваться на одежде для верховой езды, одежде ковбойского стиля, одежде для езды на мотоцикле или мотокросса и могут также выставлять на продажу спортивную обувь и ковбойские сапоги."
"5661","Обувные магазины","Продажа мужской, женской и детской обуви, включая спортивную обувь. В таких магазинах часто также продаются в ограниченном ассортименте сумки, носки, декоративные элементы для обуви, крем для обуви, перчатки и чулочные изделия."
"5681","Изготовление и продажа меховых изделий","Продажа  в розницу разнообразных изделий из натурального меха, включая шубы, куртки, головные уборы и перчатки."
"5691","Магазины мужской и женской одежды","Продажа мужской и женской одежды и аксессуаров. Эти торговые точки не занимаются продажей детской одежды."
"5697","Услуги по переделке, починке и пошиву одежды","Выполнение и продажа одежды по индивидуальным заказам, переделка, починка.  Сюда относятся также торговые точки, которые специализируются на восстановлении старинной одежды и создании оригинальных костюмов."
"5698","Парики и накладки из искусственных волос","Продажа накладок постоянного или временного ношения, париков, фальшивых локонов и искусственных прядей для мужчин и женщин, сюда относятся также торговые точки, предоставляющие услуги по завивке. 
Для торговых точек, которые предоставляют услуги по наращиванию волос, требующие хирургического вмешательства, используется MCC 8099."
"5699","Различные магазины одежды и аксессуаров","Продажа специализированной одежды (кроме изделий из меха) и аксессуаров, не классифицированных ранее. Сюда, например, относятся торговые точки, специализирующиеся на продаже теннисок, форменной одежды, купальных костюмов. Для торговых точек, специализирующихся на меховых изделиях, используется MCC 5681."
"5712","Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)","Торговые точки, занимающиеся продажей бытовых принадлежностей, предлагающие широкий выбор мебели для дома и аксессуаров. Сюда относятся постельные принадлежности и матрацы, мебель для столовой и гостиной, обстановка для веранды или патио, для детской комнаты, а также светильники, коврики и занавески. Такие торговые точки могут заниматься продажей электроприборов в ограниченном ассортименте (например, телевизоров, стерео- и видеомагнитофонов.). 
Для торговых точек, специализирующихся только на продаже электрооборудования, используется MCC 5732."
"5713","Покрытия для пола","Продажа различных покрытий для пола, таких как ковры и ковровые покрытия, плитка для пола, линолеум, камень, паркет или кирпичи. Такие торговые точки могут также предоставлять услуге по установке. 
Для торговых точек, занимающихся исключительно установкой, используется MCC 1799."
"5714","Ткани, обивочный материал, гардины и портьеры, жалюзи","Продажа тканей, занавесей, жалюзи, штор и обивочного материала. 
Для торговых точек, преимущественно занимающихся обивкой или починкой мебели, используется MCC 7641."
"5715","Оптовые продавцы алкоголя","Найдено в сомнительном источнике, но этот код присутствует в категории ""Супермаркеты"" некоторых банков."
"5718","Продажа каминов, экранов для каминов и аксессуаров","Торговые точки, продающие камины, деревянные печи, отдельные части каминов и аксессуары, такие как инструменты и экраны для каминов. 
Для подрядчиков, выполняющих каменную кладку и установку каминов используется МСС 1740."
"5719","Различные специализированные магазины бытовых принадлежностей","Торговые точки, продающие различные бытовые принадлежности. Сюда относятся: посуда, кухонные ножи, постельное белье и принадлежности, лампы и абажуры, зеркала, картины, гончарные и керамические изделия. 
Для торговцев изделиями из стекла и хрусталя используется МСС 5950."
"5722","Бытовое оборудование","Торговые точки, продающие бытовое оборудование. Сюда относятся: газовые или электрические печи и плиты, духовки, холодильники, посудомоечные машины, водонагреватели, стиральные машины, сушилки, корзины для мусора, швейные машинки, автономные кондиционеры и пылесосы. Такие торговцы могут выполнять также ремонтные работы. 
Для торговцев, занимающихся преимущественно ремонтом, используются МСС 7623."
