Income;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Response
63568;65;19;5;0;2;0
73935;64;13;29;1;1;0
0;66;15;56;0;3;0
18846;115;16;84;0;3;0
38893;103;19;40;0;9;0
0;153;25;5;0;1;0
84824;196;7;4;0;9;0
20068;86;8;28;0;3;0
0;125;21;34;0;1;0
0;135;32;61;0;8;0
97245;70;29;29;0;2;0
51808;61;3;12;1;1;0
71391;67;29;39;0;2;0
0;73;17;44;0;7;0
0;100;5;54;0;7;0
23496;77;17;88;0;8;0
22562;65;4;81;0;1;0
23986;119;31;3;0;1;0
22974;71;0;8;0;1;0
0;101;21;35;0;2;0
61844;106;19;74;0;2;0
24804;73;19;98;0;2;0
27760;104;13;71;0;2;0
74454;71;25;29;0;3;0
29462;107;28;23;1;1;0
52266;68;14;98;0;1;0
0;70;18;99;0;2;0
23599;103;20;46;0;1;0
36088;72;16;31;0;9;0
70534;104;31;71;0;3;0
27398;125;4;71;1;2;0
85296;68;15;47;0;6;0
31063;92;20;19;0;2;0
0;92;8;28;0;3;0
52367;81;25;64;0;1;0
58651;71;6;95;0;3;0
84831;192;13;37;0;2;0
49088;114;17;87;1;2;0
70263;93;30;66;0;5;0
45354;285;5;51;0;1;0
0;63;11;73;0;2;0
28334;83;3;44;0;7;0
38772;90;8;87;0;2;0
41479;94;14;38;1;1;0
23909;119;21;86;0;2;0
48328;63;22;12;0;7;0
86689;85;3;72;0;1;0
24204;99;25;41;1;1;0
25943;110;26;83;0;1;0
0;73;5;72;0;7;0
62375;92;34;34;0;1;0
0;71;7;24;0;2;0
0;148;8;18;0;2;0
70200;65;25;10;0;2;0
0;112;16;62;0;1;0
79027;70;13;37;0;5;0
26736;63;6;64;0;1;0
26893;68;1;31;0;5;0
47406;94;2;96;1;6;0
17622;65;1;36;1;3;0
27572;124;11;57;0;2;0
0;72;7;34;2;7;0
32802;114;31;8;0;1;0
18400;89;26;52;0;8;0
90844;118;10;98;0;2;0
44685;69;1;41;0;2;0
0;80;30;8;0;1;0
42589;98;8;73;0;1;0
0;72;17;55;0;2;0
63009;112;17;49;0;2;0
79583;109;12;76;2;1;0
89129;64;24;93;0;1;0
0;69;23;15;0;1;0
94389;107;16;76;0;8;0
0;197;5;50;0;9;0
84106;64;0;86;0;2;0
0;69;2;71;0;1;0
76717;66;26;10;0;6;0
51978;66;18;81;0;1;0
47325;107;0;92;0;6;0
86721;111;33;10;0;3;0
24910;63;7;63;1;1;0
90125;110;1;72;0;3;0
0;73;24;40;2;9;0
89451;63;11;2;0;1;0
59537;66;23;5;0;7;0
0;199;6;37;0;1;0
54193;117;2;83;0;2;0
86946;118;13;14;0;7;0
0;92;15;36;0;2;0
12160;109;5;34;0;1;0
33701;63;16;67;0;5;0
33531;116;11;15;0;1;0
69417;73;30;78;1;1;0
38644;78;28;0;1;1;0
63209;102;20;28;2;2;0
16061;88;26;23;0;1;0
79487;114;20;87;0;1;0
54230;112;10;21;0;9;0
71210;214;8;89;1;2;1
94903;94;3;38;0;1;1
27293;96;20;55;0;6;0
70950;171;6;12;0;1;0
0;63;19;9;0;1;0
37009;71;1;45;0;1;0
52629;65;30;22;0;6;0
31264;198;9;54;1;2;0
65473;67;4;14;0;2;0
0;65;13;7;0;1;0
99144;61;29;51;0;1;0
22520;73;17;64;0;3;1
36615;65;14;7;0;5;0
64455;108;5;43;0;2;0
76374;61;21;28;0;7;0
35457;105;0;93;0;1;0
56005;68;31;30;1;3;1
61040;79;12;24;1;4;0
81367;103;2;32;0;4;0
44817;83;23;89;0;2;0
58508;69;32;11;0;1;0
45259;138;1;27;0;4;0
30817;88;25;43;0;1;1
0;72;3;65;0;1;0
40870;105;3;56;0;2;1
35001;96;18;87;3;1;0
49937;64;1;45;0;2;0
0;109;35;75;0;1;0
58317;73;0;56;0;2;0
0;109;15;61;0;7;0
17101;113;1;88;0;2;1
0;118;14;64;0;4;1
0;65;24;53;0;3;0
24398;63;14;79;1;3;0
24641;61;16;57;0;1;0
69040;108;4;88;0;1;0
17101;113;1;88;0;2;1
59886;104;30;1;0;4;0
14290;271;20;40;0;1;1
43137;96;8;41;0;8;0
27978;69;3;21;1;7;0
25261;118;31;9;0;1;0
58652;64;14;75;5;1;0
28321;111;34;32;0;1;0
0;69;35;79;0;2;0
0;72;20;12;0;6;0
0;88;17;25;0;6;0
94415;127;6;53;1;1;0
0;103;4;67;0;2;0
45331;100;0;8;0;2;0
53904;67;1;17;2;1;0
0;74;18;58;0;2;0
0;70;11;36;2;7;0
0;67;20;38;0;8;0
28142;105;18;50;0;1;1
74422;85;4;3;1;3;0
35095;73;25;56;0;2;1
55588;114;15;40;0;2;0
52391;71;9;32;0;3;0
42240;79;25;10;0;2;0
70146;96;28;65;0;1;0
41121;94;20;56;0;2;0
71210;214;8;89;1;2;1
0;107;34;70;1;1;0
41228;71;19;13;0;1;0
40598;91;35;98;0;5;0
0;91;28;59;0;1;0
51790;71;12;43;0;1;0
92593;68;4;53;0;1;0
28657;100;4;55;0;2;0
30262;98;0;96;1;9;0
47197;81;19;91;0;2;0
0;94;25;20;0;6;0
0;61;2;15;0;2;0
0;134;22;68;0;1;0
22093;87;15;8;0;9;0
54483;61;6;57;0;1;0
18944;63;20;64;0;1;0
84365;66;14;42;0;2;0
0;64;20;13;0;4;0
25147;101;7;54;0;1;1
14315;71;33;16;0;1;0
87864;94;19;42;0;8;0
57844;85;16;31;1;2;0
17913;116;0;39;0;1;0
28806;99;35;75;0;2;0
90343;175;11;68;0;3;0
79041;199;14;48;0;3;0
99845;110;23;25;1;8;1
85019;167;26;92;0;1;0
70059;194;1;97;0;1;0
70503;164;11;11;1;2;0
0;117;9;78;0;1;0
39492;105;20;81;0;1;0
0;68;9;34;0;1;0
50405;70;6;21;1;9;0
96021;68;5;30;0;5;0
0;65;26;97;0;1;0
0;105;13;22;0;1;0
65794;69;10;14;1;1;0
21975;95;28;63;0;1;0
0;126;19;17;0;4;0
56649;125;12;8;0;1;0
0;181;22;96;0;2;0
92296;69;4;65;0;1;1
39448;103;10;14;3;5;0
71794;131;19;48;0;1;0
21861;69;3;11;0;1;0
31591;72;17;65;4;1;0
60662;68;10;38;0;2;0
20608;73;10;24;0;1;0
21331;103;18;84;0;2;0
0;66;16;19;1;2;0
90783;104;0;38;2;2;0
36631;62;30;77;0;1;1
0;87;15;46;0;6;0
26030;139;25;29;1;2;0
0;70;6;24;0;6;0
0;113;14;77;0;1;0
25302;70;13;16;1;2;0
16483;90;14;68;0;9;0
0;82;29;92;0;2;0
73222;180;24;43;0;3;0
22061;74;25;25;0;8;0
86321;66;7;25;0;1;0
54668;68;3;41;1;6;0
0;62;15;80;0;3;0
69497;142;30;31;0;2;0
86617;63;9;10;0;1;0
22705;239;19;59;0;7;1
20836;79;25;2;0;9;0
88410;99;30;31;0;1;0
0;69;26;33;0;9;0
21073;106;25;54;1;3;1
0;66;16;77;0;2;1
66429;136;35;93;0;1;1
66889;80;6;16;0;1;0
36088;72;16;31;0;9;1
75217;61;12;47;1;2;0
0;68;8;9;0;2;0
17557;96;6;5;0;1;0
81064;70;20;4;4;3;0
0;66;2;45;0;5;0
75313;89;16;64;1;2;0
45703;98;17;36;0;9;0
40036;65;2;85;0;2;0
0;71;23;84;0;1;0
65870;61;21;40;1;2;0
91469;100;11;89;2;2;0
42090;119;0;61;0;3;0
21368;79;7;2;0;6;0
78362;73;16;66;0;2;0
33879;98;16;82;0;2;0
72874;70;26;31;0;6;0
0;82;29;23;1;2;0
0;110;9;23;0;6;0
72215;66;22;23;0;2;0
39854;66;6;4;0;7;1
36655;61;15;81;0;9;0
37995;139;16;50;0;1;1
40867;112;21;98;0;7;0
28804;78;6;84;0;3;0
48409;124;13;60;0;2;0
19683;117;17;41;1;9;1
88706;110;14;72;1;2;0
89689;74;14;4;0;2;0
67241;68;22;6;1;9;0
75436;78;10;20;0;2;0
91761;109;33;20;2;1;0
25771;222;21;58;0;4;0
60920;64;10;61;0;2;1
96869;101;25;97;0;3;0
17752;77;26;87;0;1;0
60944;130;10;38;2;4;0
22081;84;1;9;0;6;1
73695;84;28;84;0;1;0
0;130;11;0;0;1;0
95697;61;16;55;0;1;1
15300;85;17;16;0;9;0
0;131;34;61;0;9;1
12902;139;3;51;0;1;1
29809;61;13;17;0;9;0
0;74;17;27;0;2;0
0;96;21;18;0;3;0
25998;71;16;38;0;2;1
28248;90;25;89;0;1;0
68103;82;28;91;0;1;0
0;103;33;54;0;3;0
81079;111;11;5;0;1;0
22732;62;31;35;0;1;0
49825;70;14;27;3;2;0
0;103;11;92;0;1;0
77265;107;23;9;0;1;0
0;72;20;41;0;7;0
12876;107;8;90;2;3;0
36431;99;27;59;0;2;0
25927;103;6;20;0;1;1
26811;72;22;82;0;3;0
41711;90;3;89;0;1;0
35091;74;27;19;0;9;0
0;87;17;33;0;3;0
22081;84;1;9;0;6;1
0;93;7;90;1;5;0
31320;72;30;95;0;5;0
0;153;25;5;0;1;1
33947;66;10;48;1;1;0
0;62;10;31;0;2;0
21189;66;4;2;0;2;0
73759;114;2;25;3;6;0
0;114;3;93;0;1;0
44988;108;30;57;0;3;0
33432;90;28;43;0;2;0
46503;215;4;21;1;1;1
0;101;12;12;0;6;0
23636;65;19;10;0;3;0
66429;136;35;93;0;1;1
28466;102;33;91;0;1;0
58082;112;31;66;1;1;0
36523;71;28;67;0;2;0
54710;103;13;46;0;2;0
73466;102;2;71;1;6;0
51643;283;16;43;0;1;1
83846;74;22;94;3;2;1
0;169;31;77;0;1;0
53338;63;24;35;1;1;0
75203;80;0;13;1;2;0
60475;107;9;18;0;1;1
30658;89;6;67;0;2;0
0;102;28;11;0;1;1
60420;248;8;74;0;8;0
0;65;9;31;0;2;1
62739;70;29;80;0;3;0
15144;90;2;71;0;1;0
44428;104;17;61;0;2;1
58297;97;19;94;5;1;0
42191;74;2;43;1;2;0
26057;74;3;63;0;2;1
26608;73;12;14;0;6;0
0;63;8;27;0;9;0
66429;136;35;93;0;1;1
25970;72;18;30;3;2;0
48268;223;28;26;0;2;0
24279;126;16;97;0;2;0
0;121;11;92;0;5;0
0;128;30;26;0;5;0
71879;64;1;64;0;2;0
57760;78;9;67;0;3;0
20976;129;20;86;1;1;0
67137;111;0;49;5;6;0
50148;65;0;45;0;1;0
23008;79;29;49;1;1;0
0;82;12;67;0;1;0
84869;85;5;65;0;4;0
0;66;21;67;0;1;0
86860;107;13;29;0;1;0
44695;79;14;51;2;2;0
0;77;35;38;0;1;0
23046;65;18;7;3;2;0
0;73;1;44;0;4;0
84811;111;27;38;0;2;0
0;91;13;89;0;4;0
0;69;29;35;0;1;0
40117;108;6;55;0;2;0
72140;87;22;66;2;1;0
0;136;5;46;0;1;0
12495;65;32;62;0;1;0
0;67;33;75;2;1;0
0;72;4;72;0;7;0
36495;133;14;97;1;3;0
86801;98;5;20;0;2;0
52679;62;21;3;0;4;0
90804;113;29;67;0;5;0
22404;70;0;62;1;4;0
14262;90;27;9;0;1;0
36844;73;10;11;0;1;0
58703;127;32;26;2;6;0
65162;86;11;59;0;1;0
54964;99;13;53;0;1;0
61401;69;8;77;0;3;0
25147;101;7;54;0;1;1
73536;67;29;27;0;6;0
24860;73;2;35;0;8;0
65404;99;16;79;0;1;0
34510;81;0;54;0;1;0
0;108;7;55;0;1;0
40113;67;2;43;3;5;0
20993;133;35;90;0;1;1
0;61;2;34;1;1;0
83846;74;22;94;3;2;1
62587;86;30;47;0;2;0
0;69;17;10;0;2;0
73345;107;7;62;0;1;0
0;83;30;44;0;1;0
22705;239;19;59;0;7;1
21440;135;7;19;0;1;0
22627;67;19;43;0;8;0
38702;101;7;32;3;3;0
26790;71;4;41;0;1;1
64859;96;24;11;0;8;0
0;61;31;15;0;1;0
69263;81;8;12;2;1;0
82655;66;8;93;0;1;0
29401;65;30;56;0;4;0
0;79;5;62;0;7;0
26480;63;13;17;0;3;0
0;61;34;35;1;1;0
0;83;12;21;0;5;0
73268;84;18;18;0;1;0
95579;67;19;78;0;2;0
42142;112;1;8;0;3;0
26676;112;7;96;0;1;0
41279;115;1;30;0;2;0
15529;273;1;64;0;9;0
0;128;4;24;0;6;0
23170;71;21;67;0;1;0
17343;63;9;92;0;5;0
25854;68;24;37;0;9;0
46900;66;13;59;0;1;1
64125;108;3;44;0;3;1
85355;71;34;47;2;2;0
21604;79;14;28;0;1;1
0;107;0;62;0;2;0
53998;78;5;38;5;8;0
0;73;9;94;0;2;1
68776;80;28;78;0;1;0
45039;96;27;94;0;2;0
27658;68;4;75;0;2;0
64113;117;24;32;0;2;0
41829;76;11;41;0;2;0
21514;62;0;59;0;2;1
27722;69;3;29;0;9;0
21506;151;11;42;0;4;0
10312;78;10;63;0;1;1
73054;106;34;36;1;2;1
73775;67;14;51;0;3;0
44788;61;6;48;0;2;1
22510;95;19;48;0;2;0
54613;213;29;62;0;5;0
25965;65;23;27;0;1;1
34911;105;6;31;1;1;0
78618;66;7;56;0;1;1
61080;66;7;41;2;9;0
60415;62;10;31;0;5;0
25143;66;34;38;0;1;0
41045;64;9;28;1;2;0
97729;95;18;21;0;1;0
55702;61;13;55;0;6;0
93272;95;3;54;0;1;1
23665;67;19;50;0;2;1
20228;101;3;43;1;2;1
38713;66;31;69;4;6;1
23815;73;4;47;0;2;1
0;93;15;31;3;1;0
47221;99;8;79;0;1;0
34495;113;27;29;0;2;0
46264;62;17;75;0;1;0
46051;63;16;34;0;1;0
23975;128;8;39;0;1;0
0;74;4;12;4;2;0
78561;74;7;50;0;1;0
0;90;4;63;0;7;0
61402;63;14;56;2;1;0
65090;71;28;3;0;1;0
88495;108;2;83;0;1;0
52797;104;14;13;1;2;0
31278;92;24;95;4;1;1
24177;92;4;37;1;2;0
96339;68;1;44;0;1;0
68164;119;27;37;2;6;0
0;71;17;57;0;5;0
21603;68;11;46;2;1;0
0;63;11;20;0;2;0
0;70;5;33;1;7;0
34990;65;23;73;0;1;1
22849;109;5;75;0;4;0
32893;63;13;14;0;1;0
0;73;24;15;0;1;0
0;111;7;25;0;3;0
26876;76;17;72;0;8;1
71663;74;23;22;0;2;0
0;69;1;56;0;1;0
16994;112;25;12;0;8;0
64270;117;12;58;0;1;0
0;83;4;3;0;3;0
0;145;29;70;0;1;0
56342;69;12;89;0;1;1
0;70;25;21;0;6;0
28327;185;29;26;0;3;0
95697;61;16;55;0;1;1
26876;76;17;72;0;8;1
0;102;17;91;0;2;0
0;61;31;43;0;2;0
32918;84;33;69;0;3;0
0;71;4;76;0;2;0
63127;74;35;17;1;1;0
22022;136;35;1;0;2;0
51725;138;9;16;1;2;0
79090;107;2;74;0;3;1
39719;131;1;57;0;3;0
58194;84;26;23;0;2;0
61990;72;21;47;0;9;0
41479;94;14;38;1;1;1
97899;95;29;73;3;7;0
63878;113;32;47;0;9;0
68671;70;30;49;0;6;0
0;102;19;13;0;3;0
34640;117;23;54;2;1;0
21959;71;0;69;0;1;0
51584;69;11;98;2;2;0
65744;62;9;77;0;1;0
25198;118;26;36;0;4;0
79663;69;14;39;0;1;0
31071;111;0;57;2;1;0
39452;131;6;54;0;1;0
25813;61;16;97;0;8;0
59965;131;7;54;0;7;0
0;63;23;90;0;1;0
98701;94;22;66;0;3;0
0;121;5;94;0;8;0
64388;68;9;46;0;2;0
66841;62;4;73;0;1;0
33738;74;6;50;1;1;0
43334;95;3;72;2;1;0
0;91;13;89;0;1;0
83431;84;13;33;0;1;0
57647;94;3;99;0;1;0
0;79;17;4;0;3;0
38210;69;25;41;0;3;0
0;67;28;72;0;2;0
49734;69;3;41;0;2;0
97131;64;5;80;0;6;1
11689;117;7;46;0;1;0
17120;125;14;95;0;1;0
82157;188;5;33;0;1;0
63297;82;1;33;0;1;0
66014;102;34;11;0;2;0
98121;67;22;49;0;1;0
93495;129;8;0;0;9;0
89382;112;2;61;0;3;0
97742;132;6;52;0;1;0
0;114;29;96;0;2;0
0;73;30;8;0;1;0
77153;99;3;27;1;5;0
94590;81;26;31;0;2;0
74163;108;14;63;0;1;0
40450;287;8;20;3;7;0
0;71;8;30;0;8;0
0;99;12;77;0;4;0
33243;85;13;19;0;1;0
0;64;25;80;0;1;0
0;114;33;55;0;2;0
20228;101;3;43;1;2;1
92801;100;24;23;0;1;0
0;69;7;45;1;2;0
36845;74;14;33;0;1;0
0;63;28;82;0;2;0
72330;81;2;50;2;1;0
19352;65;16;0;0;1;0
0;62;13;6;5;2;0
25073;79;3;84;0;2;0
20261;72;4;55;0;1;0
66851;92;10;70;2;2;0
43860;65;15;58;0;1;1
0;180;21;68;0;1;0
48019;64;15;94;0;2;0
28786;71;30;69;1;1;0
22283;65;16;93;0;1;1
34133;111;0;72;0;7;0
60880;119;25;89;0;2;1
0;196;5;59;2;1;0
48115;192;15;67;0;5;0
32017;62;9;10;2;7;0
58518;136;17;9;0;3;0
61542;67;33;83;0;6;0
56761;73;31;80;1;1;0
22976;66;19;33;0;4;0
0;72;14;29;0;2;0
0;62;8;98;0;2;0
0;66;20;53;0;2;0
44428;104;17;61;0;2;1
52361;102;13;78;0;1;0
32435;297;24;68;0;1;0
40272;86;8;64;0;1;0
30492;61;32;68;0;2;0
51524;244;6;30;0;3;0
36635;63;20;28;0;1;0
83389;65;5;57;0;3;0
63035;153;20;97;0;2;0
61638;82;3;55;2;1;0
21073;106;25;54;1;3;1
0;68;19;2;3;2;1
0;82;26;12;0;9;0
0;74;23;64;0;2;0
86811;102;19;22;0;5;0
72517;82;33;27;0;2;0
0;77;2;71;0;9;0
84424;66;18;71;0;9;0
43383;109;7;60;0;8;0
96306;95;12;17;1;6;1
0;61;18;15;0;8;0
65134;112;28;48;0;1;0
94125;109;33;21;0;2;0
39778;112;23;49;0;2;0
0;101;3;32;0;1;0
91871;102;5;3;0;2;0
54000;66;15;45;0;1;0
57709;125;10;26;0;1;1
81132;107;19;52;0;1;0
22926;93;1;99;0;2;0
0;72;15;91;2;2;0
69205;110;20;56;0;6;0
78011;138;14;42;0;3;0
32931;62;16;45;0;1;0
99517;109;2;93;0;3;0
59665;62;33;3;1;1;0
28082;64;9;63;0;1;0
91099;107;14;37;0;3;0
28013;91;16;13;0;1;0
55478;71;7;1;0;2;0
22568;88;31;63;0;6;0
0;112;11;3;0;1;0
39335;201;0;11;0;2;0
0;66;0;10;0;1;0
0;72;12;70;0;3;0
58842;110;6;74;0;1;1
0;69;15;73;0;2;0
0;102;11;90;0;5;0
70037;70;6;61;0;1;0
0;62;19;75;0;3;0
59847;192;28;62;0;1;0
26630;118;19;27;0;8;0
48039;68;4;37;0;1;0
0;92;2;38;0;1;0
0;137;18;50;0;1;0
0;118;18;91;0;1;0
88891;89;17;56;0;3;0
36537;85;19;4;0;2;0
0;115;18;80;1;3;0
53603;132;30;1;1;1;0
0;80;14;17;0;9;0
92374;107;16;9;1;3;0
39658;66;32;53;0;7;0
0;116;0;35;0;7;0
0;70;0;86;0;3;0
0;65;1;60;0;1;0
50755;91;21;25;0;1;0
93383;62;31;64;0;1;0
0;73;11;56;0;5;0
50607;137;15;0;0;9;0
72302;66;6;27;0;1;1
0;149;16;70;0;2;0
0;146;20;14;0;4;0
60920;64;10;61;0;2;1
0;105;4;98;0;6;0
55674;66;10;95;0;3;0
0;189;28;90;0;5;0
25317;71;15;97;0;1;0
42983;86;28;18;0;1;0
26802;66;7;43;1;5;1
0;97;27;96;0;2;0
53808;88;26;91;0;7;0
93403;73;18;32;0;1;0
26435;111;32;50;1;1;0
0;68;21;69;0;7;0
39854;66;6;4;0;7;1
0;161;0;94;0;3;0
91368;71;13;95;0;1;0
0;115;11;63;0;8;0
92850;104;3;28;1;2;0
0;113;0;9;3;2;0
30915;72;1;6;2;2;0
48927;72;1;51;0;9;0
0;86;30;32;0;2;0
61108;89;22;93;0;2;1
48015;110;24;57;0;1;0
0;61;8;78;0;9;0
57587;68;4;83;0;7;0
70301;67;7;43;0;7;0
81119;196;3;67;0;3;0
65724;70;13;66;0;2;0
53351;119;4;7;0;6;0
56146;119;0;91;0;1;0
84658;62;21;93;0;1;0
33257;72;15;14;1;4;0
25965;65;23;27;0;1;1
31115;92;21;20;0;3;0
78487;117;5;17;0;2;0
92472;65;0;3;0;3;0
0;64;9;17;0;2;0
25472;73;5;86;0;9;0
60475;107;9;18;0;1;1
26577;79;9;40;0;7;0
0;71;27;81;0;5;0
43461;64;24;47;0;6;0
0;94;2;61;0;6;0
69085;113;10;14;0;1;0
0;84;1;94;0;5;0
42526;86;12;71;0;1;0
0;77;11;36;0;6;0
0;110;35;78;1;1;0
0;106;10;32;0;1;0
58361;95;17;16;0;2;0
74092;67;17;72;0;3;0
0;64;2;52;0;1;0
73168;70;21;50;0;3;1
22853;87;16;89;0;1;0
0;125;6;44;0;1;0
12075;94;16;23;0;5;0
62464;109;23;45;0;4;1
22520;73;17;64;0;3;1
35012;72;0;50;0;6;0
95140;126;6;52;0;2;0
82477;90;1;69;0;1;1
85871;92;4;25;1;1;0
71592;72;15;18;0;2;0
70446;65;31;99;0;9;0
24314;235;20;60;0;1;0
79751;63;15;67;0;1;1
83318;72;21;58;0;3;0
26161;109;8;70;0;1;0
30473;72;20;35;0;1;0
50472;87;6;67;0;3;0
94186;64;20;50;0;3;0
47611;69;17;65;0;4;0
0;103;17;56;0;4;0
91245;69;16;50;0;2;0
45944;83;20;4;0;1;0
59649;69;33;71;1;8;0
52785;61;2;90;0;1;0
59648;66;20;72;0;2;0
93272;95;3;54;0;1;1
22134;72;13;81;0;3;0
69050;67;17;38;0;3;0
87798;71;18;73;0;1;0
0;63;0;66;0;1;0
43811;117;24;10;0;4;0
0;91;25;63;0;3;0
92456;95;8;3;0;4;0
59207;116;23;21;0;2;1
64519;69;6;29;1;1;0
11432;119;11;9;0;2;1
0;80;6;28;0;2;0
32607;111;27;79;1;8;0
26444;196;4;14;0;1;0
39381;74;6;55;1;7;0
0;83;21;67;0;8;0
90217;66;14;88;1;5;0
24248;70;33;82;3;1;0
99368;113;34;6;0;3;0
68189;82;10;17;1;2;0
32370;130;31;84;0;2;0
34990;65;23;73;0;1;1
25714;67;17;57;0;5;0
61091;95;17;64;0;8;0
88184;104;5;97;3;2;0
60252;65;10;8;0;1;0
80985;67;0;52;0;1;0
36088;72;16;31;0;9;1
99845;110;23;25;1;8;1
29822;61;17;44;0;2;0
40803;71;8;19;3;2;0
71134;98;21;95;3;8;0
36088;72;16;31;0;9;1
29431;103;29;35;0;2;0
68073;114;16;63;0;8;0
17937;65;1;27;0;2;0
23376;78;19;18;0;1;1
21986;63;1;9;0;1;1
23032;89;30;22;0;7;0
32114;104;22;50;0;1;0
13330;117;33;74;0;1;0
44934;61;9;60;0;4;0
96137;73;17;34;2;1;0
40864;109;16;70;1;1;1
22668;67;5;34;1;2;0
90751;82;2;22;1;8;0
44186;64;9;96;2;2;0
92678;70;0;67;0;3;0
74257;76;16;91;0;3;0
99981;71;2;22;0;1;0
0;91;26;89;0;6;0
19591;74;8;79;0;4;0
29095;127;2;80;0;1;0
0;62;25;15;0;1;0
60880;119;25;89;0;2;1
61785;61;31;47;0;5;0
44428;104;17;61;0;2;1
95697;107;29;29;0;9;1
18064;63;10;45;2;1;0
74720;70;15;99;0;3;0
22594;67;22;41;0;3;0
40987;73;6;15;0;1;0
24561;126;1;31;0;2;0
76456;83;27;34;1;2;0
65828;62;22;3;0;1;0
0;68;0;48;1;5;0
63621;70;8;48;0;5;0
10074;107;33;42;0;1;0
78965;183;3;78;0;2;0
0;68;16;57;0;2;0
23604;64;4;86;0;8;0
99205;68;7;21;0;1;0
0;92;4;60;0;3;0
0;66;6;71;2;1;1
55350;67;0;13;0;9;1
21052;111;12;55;0;5;0
0;69;5;64;0;2;0
24664;69;12;15;0;2;0
45225;124;15;83;0;1;0
30430;86;6;77;0;2;0
35149;64;26;33;0;1;0
16513;71;23;37;0;6;0
10892;66;16;9;0;3;0
37995;139;16;50;0;1;1
54704;113;6;75;0;1;0
25381;71;22;62;0;2;0
0;74;5;75;0;1;0
18150;67;17;34;0;2;0
29735;69;3;92;0;1;1
77156;73;30;39;0;7;0
88782;78;6;38;0;1;0
51489;139;14;10;0;1;0
16972;125;17;89;0;5;0
99359;95;16;19;0;9;0
58289;62;18;92;4;1;0
45173;268;20;57;0;2;0
93246;78;31;24;0;2;0
43758;171;16;29;0;1;0
75651;81;23;60;0;2;0
0;67;13;91;0;2;0
36938;70;32;31;0;3;0
50843;82;12;65;0;3;0
21907;62;6;47;0;3;0
77846;119;8;45;0;1;0
20228;101;3;43;1;2;1
97030;76;14;24;0;2;0
80864;182;5;30;0;1;0
48197;106;10;61;0;6;0
70837;73;7;19;4;3;0
85297;93;7;91;0;2;0
70177;115;12;34;0;8;0
52499;138;0;61;0;2;0
63143;71;31;85;0;3;0
97361;73;6;85;0;2;1
50052;130;6;50;0;1;0
11612;71;20;92;0;5;0
78115;65;1;12;0;4;0
81947;71;12;78;0;2;0
44698;211;0;88;4;1;0
26876;66;12;53;0;2;0
69841;192;0;66;0;7;0
97768;72;22;14;0;2;0
0;187;6;12;0;1;0
89057;98;17;90;0;2;0
50217;74;18;2;0;9;0
0;71;3;33;0;3;0
0;68;13;26;0;2;0
38500;99;26;49;1;1;0
62018;71;21;0;0;1;0
0;65;13;84;0;1;0
57394;106;8;11;0;3;0
23530;65;22;34;0;2;0
48887;95;26;25;0;1;0
68867;129;19;91;0;1;0
12062;63;3;42;0;2;0
59230;107;11;56;0;5;0
59586;72;6;70;0;3;0
57506;102;24;43;0;1;0
25134;67;3;0;0;6;1
0;61;3;58;0;5;0
0;61;19;44;0;1;0
0;100;15;96;1;1;0
44901;70;15;56;2;2;0
0;93;21;8;0;3;0
28463;113;0;45;2;7;0
13037;124;28;49;0;1;1
82320;99;4;2;1;2;0
0;104;9;58;0;7;0
78460;64;3;93;0;4;0
0;92;26;11;4;1;0
46922;64;34;12;0;3;0
60689;74;29;67;0;7;0
0;71;3;38;0;3;0
61108;89;22;93;0;2;1
98003;107;4;46;0;7;0
0;74;30;37;0;2;0
22081;84;1;9;0;6;1
83006;235;8;61;1;2;0
38713;66;31;69;4;6;1
28700;68;2;65;3;1;0
61552;115;1;95;0;2;0
56718;113;7;95;1;1;0
66776;71;11;45;0;2;0
58268;67;12;82;0;2;0
0;68;22;43;0;1;0
12608;66;23;72;1;3;0
63499;73;21;79;0;1;0
36247;96;35;29;0;7;0
30228;73;28;44;0;5;0
0;74;19;4;0;1;0
0;116;3;97;0;3;0
99364;121;3;37;0;5;0
23665;67;19;50;0;2;1
0;94;7;4;0;2;0
69247;61;12;64;1;3;0
56047;92;26;29;0;5;0
28919;73;11;76;0;5;0
0;70;5;29;0;4;0
0;83;8;78;0;4;0
69900;64;23;68;0;2;0
55687;276;33;91;0;1;1
78294;92;6;35;0;3;0
46896;62;9;33;1;4;0
0;62;26;62;0;3;0
0;168;11;46;0;1;0
0;104;25;33;3;1;0
21385;127;14;37;0;1;0
87128;97;26;45;0;3;0
35434;66;19;26;0;2;0
29462;107;28;23;1;1;1
53243;102;26;96;3;2;0
21006;139;14;9;1;1;0
0;65;24;93;0;9;0
36088;72;16;31;0;9;1
28948;131;7;57;0;3;0
24417;185;22;25;0;1;0
67099;69;11;24;0;6;0
97830;96;3;61;0;2;0
0;101;15;90;0;2;0
93558;67;19;5;0;1;0
37384;99;9;17;0;1;1
28227;62;14;24;0;2;0
51008;74;5;95;0;2;0
78185;61;23;54;0;1;0
0;74;35;2;0;3;0
0;68;34;68;0;4;0
97205;100;22;40;2;2;0
0;101;28;34;0;6;0
26225;72;18;25;1;7;0
20545;70;23;86;0;2;0
0;83;20;32;0;1;0
35503;67;14;95;0;1;0
58988;118;3;76;0;2;0
0;74;16;89;1;2;0
0;64;21;5;0;1;0
