Id;age;years_of_experience;lesson_price;qualification;physics;chemistry;biology;english;geography;history;mean_exam_points
2098;43.0;4.0;2650.0;3.0;No;No;No;No;No;No;85.0
2099;52.0;4.0;1050.0;1.0;No;No;No;No;No;Yes;59.0
2100;40.0;2.0;1150.0;1.0;No;No;No;No;No;No;59.0
2101;38.0;3.0;1350.0;1.0;No;No;No;No;No;No;36.0
2102;33.0;0.0;1500.0;1.0;Yes;No;No;No;No;No;42.0
2103;53.0;0.0;1500.0;2.0;No;No;No;No;No;No;58.0
2104;52.0;2.0;1900.0;3.0;No;No;No;No;No;Yes;62.0
2105;40.0;1.0;1550.0;2.0;Yes;No;No;No;No;No;65.0
2106;55.0;3.0;800.0;1.0;Yes;No;No;No;No;No;55.0
2107;41.0;0.0;1500.0;2.0;Yes;No;No;No;No;No;60.0
2108;56.0;3.0;1550.0;3.0;Yes;No;No;No;No;No;74.0
2109;61.0;6.0;2050.0;3.0;Yes;No;No;No;No;No;90.0
2110;47.0;5.0;1550.0;1.0;No;No;No;No;No;No;62.0
2111;35.0;4.0;2050.0;2.0;No;No;No;No;No;No;68.0
2112;43.0;1.0;1800.0;2.0;Yes;No;No;No;No;No;75.0
2113;44.0;1.0;1150.0;1.0;No;No;Yes;No;No;No;52.0
2114;49.0;2.0;1250.0;1.0;No;No;No;No;No;No;58.0
2115;48.0;0.0;1750.0;2.0;No;No;No;No;No;No;66.0
2116;44.0;4.0;2000.0;1.0;No;No;No;No;No;No;43.0
2117;47.0;0.0;2250.0;3.0;No;No;No;No;No;No;83.0
2118;50.0;3.0;850.0;1.0;No;No;No;No;No;No;49.0
2119;45.0;0.0;1300.0;1.0;No;No;No;No;No;No;66.0
2120;45.0;6.0;950.0;1.0;Yes;No;No;No;No;No;69.0
2121;54.0;2.0;1100.0;1.0;Yes;No;No;No;No;No;53.0
2122;45.0;2.0;1650.0;2.0;No;No;No;No;No;No;58.0
2123;54.0;1.0;1150.0;1.0;No;Yes;No;No;No;No;57.0
2124;44.0;0.0;2250.0;3.0;Yes;No;No;No;No;No;87.0
2125;42.0;0.0;1150.0;1.0;Yes;Yes;No;No;No;No;61.0
2126;43.0;1.0;2150.0;3.0;No;No;Yes;No;No;No;82.0
2127;36.0;1.0;2150.0;2.0;No;No;No;No;No;No;72.0
2128;47.0;0.0;1450.0;2.0;No;No;No;No;No;No;54.0
2129;47.0;2.0;1100.0;1.0;No;No;No;No;No;No;46.0
2130;58.0;0.0;2150.0;2.0;Yes;No;No;No;No;No;75.0
2131;42.0;4.0;3250.0;3.0;No;Yes;No;No;No;No;88.0
2132;51.0;6.0;1200.0;1.0;Yes;No;No;No;No;No;66.0
2133;47.0;5.0;1750.0;1.0;No;Yes;No;No;No;No;41.0
2134;26.0;3.0;1100.0;1.0;Yes;No;No;No;No;No;57.0
2135;58.0;4.0;1800.0;1.0;No;No;No;No;No;No;59.0
2136;43.0;4.0;2500.0;3.0;Yes;No;No;No;No;No;90.0
2137;47.0;3.0;950.0;1.0;Yes;No;Yes;No;No;No;60.0
2138;45.0;0.0;2200.0;3.0;Yes;No;No;No;No;No;86.0
2139;58.0;3.0;1200.0;1.0;No;No;No;No;No;No;43.0
2140;61.0;1.0;2150.0;3.0;No;No;No;No;No;No;77.0
2141;48.0;0.0;1750.0;2.0;No;No;No;No;No;No;63.0
2142;29.0;1.0;1150.0;1.0;Yes;Yes;Yes;No;No;No;63.0
2143;47.0;0.0;2200.0;3.0;No;No;No;No;No;No;84.0
2144;38.0;3.0;3050.0;3.0;No;No;No;No;No;No;83.0
2145;34.0;2.0;1800.0;2.0;No;No;No;No;No;No;64.0
2146;54.0;0.0;1400.0;1.0;No;No;No;No;No;No;56.0
2147;43.0;0.0;2150.0;2.0;No;No;No;No;No;No;76.0
2148;31.0;5.0;1750.0;2.0;No;No;No;No;No;No;58.0
2149;52.0;1.0;2300.0;2.0;Yes;No;No;No;No;No;80.0
2150;46.0;4.0;2350.0;2.0;Yes;Yes;No;Yes;No;No;91.0
2151;41.0;3.0;2450.0;3.0;No;No;No;No;No;No;86.0
2152;48.0;1.0;1400.0;1.0;No;No;No;No;No;No;62.0
2153;61.0;2.0;1700.0;2.0;Yes;No;No;No;No;No;70.0
2154;43.0;4.0;2400.0;3.0;No;Yes;No;No;No;No;82.0
2155;32.0;0.0;1450.0;2.0;Yes;No;No;No;No;No;61.0
2156;33.0;3.0;2000.0;2.0;Yes;No;No;No;Yes;No;76.0
2157;51.0;0.0;2250.0;3.0;No;No;No;No;No;No;77.0
2158;49.0;2.0;1400.0;1.0;No;No;No;No;No;No;51.0
2159;41.0;5.0;1550.0;1.0;Yes;No;No;No;No;No;47.0
2160;54.0;0.0;1500.0;2.0;No;No;No;No;Yes;No;58.0
2161;43.0;1.0;1400.0;3.0;Yes;Yes;No;No;No;No;57.0
2162;65.0;1.0;2100.0;2.0;Yes;No;No;No;No;No;71.0
2163;44.0;0.0;1350.0;1.0;Yes;No;Yes;No;No;No;74.0
2164;56.0;7.0;1600.0;1.0;No;Yes;No;No;No;No;52.0
2165;52.0;2.0;2200.0;3.0;No;No;No;No;No;No;75.0
2166;44.0;0.0;1500.0;2.0;Yes;No;No;No;No;No;54.0
2167;36.0;3.0;2250.0;2.0;No;No;No;No;No;No;79.0
2168;38.0;4.0;1600.0;2.0;Yes;No;No;No;No;No;55.0
2169;60.0;0.0;1200.0;1.0;No;No;No;No;No;No;49.0
2170;38.0;0.0;2200.0;2.0;No;No;No;No;No;No;71.0
2171;45.0;0.0;1500.0;1.0;No;Yes;Yes;No;No;No;40.0
2172;31.0;2.0;1050.0;1.0;Yes;No;No;No;No;No;60.0
2173;35.0;0.0;1400.0;1.0;Yes;Yes;No;No;No;No;67.0
2174;41.0;0.0;1700.0;2.0;No;No;Yes;No;No;No;60.0
2175;49.0;0.0;1150.0;1.0;No;No;No;No;No;Yes;52.0
2176;48.0;0.0;1750.0;2.0;No;No;No;No;No;No;60.0
2177;23.0;0.0;2200.0;2.0;No;No;No;No;No;No;67.0
2178;60.0;0.0;1450.0;1.0;No;No;No;No;No;No;53.0
2179;43.0;1.0;1400.0;1.0;No;No;No;No;No;No;49.0
2180;43.0;4.0;3050.0;2.0;Yes;No;No;No;No;No;86.0
2181;39.0;0.0;1200.0;1.0;Yes;No;No;No;No;No;52.0
2182;42.0;0.0;2200.0;2.0;No;No;No;No;No;No;66.0
2183;51.0;0.0;2200.0;3.0;No;Yes;No;No;No;No;80.0
2184;47.0;2.0;1400.0;2.0;No;No;No;No;No;No;63.0
2185;34.0;5.0;2250.0;2.0;No;No;Yes;No;No;No;73.0
2186;37.0;2.0;1400.0;1.0;No;No;No;No;No;No;64.0
2187;42.0;4.0;2300.0;3.0;No;No;Yes;No;No;No;87.0
2188;39.0;1.0;2200.0;3.0;No;No;No;No;No;No;75.0
2189;39.0;0.0;1150.0;1.0;No;No;No;No;No;No;50.0
2190;52.0;2.0;1400.0;1.0;No;No;No;No;No;No;49.0
2191;41.0;3.0;1100.0;1.0;Yes;No;No;No;No;No;58.0
2192;41.0;4.0;650.0;1.0;Yes;No;No;No;No;No;58.0
2193;51.0;5.0;3000.0;3.0;No;No;Yes;No;No;No;86.0
2194;46.0;3.0;1850.0;2.0;Yes;No;No;No;No;No;74.0
2195;48.0;0.0;1400.0;1.0;No;No;No;No;No;No;60.0
2196;44.0;3.0;1500.0;2.0;Yes;No;No;No;No;No;74.0
2197;54.0;1.0;1150.0;1.0;No;No;No;No;No;No;46.0
2198;37.0;0.0;2200.0;2.0;No;No;No;No;No;No;71.0
2199;46.0;2.0;950.0;1.0;No;No;No;No;No;No;56.0
2200;39.0;1.0;1450.0;2.0;Yes;No;No;No;No;No;60.0
2201;43.0;0.0;1450.0;1.0;No;Yes;No;No;No;No;65.0
2202;40.0;1.0;2150.0;2.0;No;No;No;Yes;No;No;68.0
2203;50.0;1.0;2100.0;2.0;No;No;No;No;No;No;73.0
2204;44.0;0.0;2150.0;2.0;No;No;No;No;No;No;67.0
2205;49.0;2.0;1550.0;2.0;Yes;No;Yes;No;No;No;62.0
2206;45.0;0.0;1450.0;1.0;Yes;No;Yes;No;No;No;69.0
2207;46.0;2.0;2400.0;3.0;Yes;No;No;No;No;No;86.0
2208;52.0;0.0;1200.0;1.0;No;No;No;No;No;No;54.0
2209;43.0;1.0;1450.0;2.0;Yes;No;No;No;No;No;61.0
2210;43.0;0.0;1400.0;1.0;No;No;No;No;No;No;63.0
2211;42.0;4.0;3600.0;3.0;No;No;No;No;No;No;87.0
2212;33.0;0.0;1350.0;1.0;Yes;No;No;No;No;No;72.0
2213;40.0;1.0;1850.0;2.0;No;No;No;No;No;No;62.0
2214;48.0;2.0;2100.0;3.0;No;No;No;No;Yes;No;77.0
2215;45.0;3.0;1350.0;1.0;No;No;No;No;No;No;58.0
2216;53.0;1.0;2150.0;2.0;No;No;No;No;No;No;74.0
2217;46.0;4.0;1650.0;2.0;No;No;No;No;No;No;62.0
2218;42.0;3.0;2300.0;4.0;No;Yes;No;Yes;No;No;87.0
2219;48.0;5.0;1550.0;2.0;No;No;No;No;No;No;62.0
2220;54.0;0.0;1700.0;2.0;Yes;No;No;Yes;No;No;70.0
2221;44.0;0.0;1700.0;2.0;Yes;No;No;No;No;No;68.0
2222;34.0;0.0;2200.0;2.0;No;No;No;No;No;No;73.0
2223;41.0;3.0;1700.0;1.0;No;No;No;Yes;No;No;62.0
2224;42.0;4.0;700.0;1.0;Yes;No;No;No;No;No;56.0
2225;56.0;3.0;1050.0;1.0;No;No;No;No;No;No;54.0
2226;48.0;1.0;2200.0;3.0;No;No;No;No;No;No;75.0
2227;53.0;2.0;1150.0;1.0;No;No;No;No;No;No;56.0
2228;43.0;0.0;1700.0;2.0;Yes;No;No;No;No;No;78.0
2229;38.0;1.0;1200.0;1.0;No;No;No;No;No;No;48.0
2230;59.0;5.0;3100.0;3.0;Yes;No;No;No;No;No;96.0
2231;39.0;2.0;1150.0;1.0;Yes;No;Yes;No;No;No;60.0
2232;53.0;1.0;1450.0;2.0;No;No;No;No;No;No;57.0
2233;44.0;3.0;1400.0;2.0;No;No;No;No;No;No;51.0
2234;53.0;2.0;1700.0;1.0;No;No;No;No;No;No;44.0
2235;51.0;5.0;2400.0;3.0;No;No;No;No;No;No;84.0
2236;61.0;3.0;1300.0;1.0;No;No;Yes;No;No;No;62.0
2237;29.0;2.0;2600.0;3.0;No;No;No;Yes;No;No;91.0
2238;36.0;2.0;1600.0;1.0;No;No;No;No;No;No;62.0
2239;48.0;2.0;1250.0;1.0;No;No;No;No;No;No;63.0
2240;50.0;2.0;1600.0;2.0;Yes;No;No;No;Yes;No;59.0
2241;68.0;6.0;2100.0;3.0;Yes;No;No;No;No;No;91.0
2242;58.0;1.0;1350.0;1.0;Yes;Yes;No;No;No;No;63.0
2243;44.0;4.0;1100.0;1.0;Yes;No;Yes;No;No;No;50.0
2244;39.0;0.0;1200.0;1.0;Yes;No;No;No;No;No;65.0
2245;47.0;2.0;1400.0;1.0;No;No;No;No;No;No;59.0
2246;41.0;2.0;1550.0;2.0;Yes;Yes;No;No;No;No;58.0
2247;36.0;3.0;1200.0;1.0;No;Yes;No;Yes;No;No;56.0
2248;51.0;0.0;1700.0;2.0;No;No;No;No;No;No;64.0
2249;46.0;4.0;2000.0;3.0;Yes;No;No;No;No;No;90.0
2250;60.0;0.0;1250.0;1.0;Yes;No;No;No;No;No;52.0
2251;42.0;3.0;2000.0;2.0;Yes;No;No;No;No;No;75.0
2252;56.0;0.0;1200.0;1.0;No;Yes;No;Yes;No;No;56.0
2253;53.0;4.0;850.0;1.0;No;No;No;No;No;No;56.0
2254;61.0;3.0;1550.0;1.0;Yes;No;No;No;No;No;46.0
2255;53.0;3.0;1550.0;1.0;No;No;No;No;No;No;57.0
2256;51.0;5.0;2800.0;3.0;No;No;No;No;No;No;81.0
2257;57.0;1.0;1150.0;1.0;No;No;No;No;No;No;52.0
2258;53.0;3.0;1450.0;1.0;No;No;No;No;No;No;40.0
2259;48.0;2.0;2100.0;3.0;Yes;No;No;No;No;No;82.0
2260;48.0;0.0;2200.0;3.0;No;No;Yes;No;No;No;83.0
2261;44.0;4.0;3050.0;3.0;No;No;Yes;No;No;No;85.0
2262;53.0;1.0;1400.0;1.0;No;No;No;No;No;No;64.0
2263;41.0;2.0;2250.0;3.0;No;No;No;No;No;No;81.0
2264;48.0;2.0;1300.0;2.0;Yes;Yes;No;No;No;No;61.0
2265;51.0;4.0;2400.0;1.0;No;No;No;No;No;No;60.0
2266;49.0;3.0;1850.0;2.0;No;No;No;No;No;No;55.0
2267;40.0;4.0;1350.0;2.0;Yes;No;No;No;No;No;52.0
2268;51.0;1.0;1450.0;1.0;No;No;No;No;No;No;61.0
2269;57.0;2.0;1200.0;1.0;No;No;No;No;No;No;63.0
2270;39.0;1.0;1400.0;2.0;No;No;No;No;No;No;60.0
2271;52.0;1.0;2150.0;3.0;No;No;No;No;Yes;No;80.0
2272;43.0;0.0;1350.0;1.0;No;No;No;No;No;No;65.0
2273;62.0;2.0;2350.0;3.0;No;No;No;No;No;No;79.0
2274;47.0;3.0;1950.0;2.0;Yes;No;No;No;No;No;79.0
2275;53.0;0.0;1300.0;1.0;Yes;No;No;No;No;No;67.0
2276;60.0;5.0;1450.0;1.0;No;No;No;No;No;No;47.0
2277;40.0;6.0;1850.0;2.0;No;No;No;No;No;No;64.0
2278;58.0;3.0;1300.0;1.0;Yes;No;No;No;No;No;61.0
2279;40.0;3.0;2500.0;3.0;Yes;No;No;No;No;No;88.0
2280;39.0;0.0;1550.0;1.0;No;No;No;No;No;No;43.0
2281;44.0;3.0;1500.0;1.0;No;No;No;No;No;No;57.0
2282;42.0;3.0;2550.0;2.0;Yes;Yes;No;No;No;No;75.0
2283;40.0;2.0;1450.0;2.0;Yes;No;No;No;Yes;No;68.0
2284;47.0;2.0;1150.0;1.0;No;No;No;No;No;No;58.0
2285;47.0;1.0;1300.0;1.0;No;No;No;No;No;No;49.0
2286;55.0;3.0;1850.0;1.0;No;No;No;No;No;No;35.0
2287;48.0;0.0;1450.0;2.0;Yes;No;No;No;No;No;57.0
2288;56.0;2.0;1400.0;2.0;Yes;Yes;Yes;No;No;No;74.0
2289;44.0;0.0;1400.0;1.0;Yes;No;No;No;No;No;70.0
2290;49.0;4.0;1500.0;1.0;No;No;No;No;No;No;61.0
2291;56.0;1.0;1250.0;1.0;No;No;Yes;No;No;No;63.0
2292;44.0;1.0;1300.0;1.0;No;No;No;No;No;No;53.0
2293;39.0;2.0;1350.0;1.0;Yes;No;Yes;No;No;No;69.0
2294;52.0;6.0;2150.0;3.0;No;No;No;No;No;No;78.0
2295;46.0;0.0;1300.0;1.0;No;No;No;No;No;No;67.0
2296;46.0;2.0;1450.0;2.0;Yes;No;No;No;No;No;60.0
2297;37.0;1.0;1350.0;1.0;Yes;No;No;No;No;No;66.0
2298;44.0;1.0;1650.0;2.0;No;No;No;No;No;No;67.0
2299;51.0;7.0;2000.0;2.0;No;No;No;No;Yes;No;65.0
2300;49.0;0.0;1350.0;1.0;No;No;No;No;No;No;64.0
2301;46.0;5.0;1950.0;3.0;Yes;No;No;No;No;No;85.0
2302;50.0;4.0;1350.0;1.0;No;No;No;No;No;No;44.0
2303;50.0;3.0;2150.0;2.0;No;No;No;No;No;No;69.0
2304;41.0;3.0;2450.0;2.0;Yes;No;No;No;No;No;83.0
2305;29.0;0.0;1150.0;1.0;Yes;No;No;No;No;No;58.0
2306;45.0;1.0;1400.0;1.0;Yes;No;Yes;No;No;No;66.0
2307;52.0;1.0;1400.0;1.0;No;No;No;No;No;No;55.0
2308;49.0;2.0;1450.0;1.0;No;No;No;Yes;No;No;45.0
2309;57.0;0.0;1200.0;1.0;Yes;No;No;No;No;No;63.0
2310;56.0;6.0;2250.0;2.0;Yes;No;No;Yes;No;No;59.0
2311;47.0;2.0;1650.0;1.0;No;No;No;No;No;No;39.0
2312;47.0;4.0;1700.0;2.0;Yes;No;No;No;No;No;65.0
2313;58.0;5.0;2900.0;3.0;Yes;No;No;No;No;No;89.0
2314;51.0;2.0;1650.0;1.0;No;No;No;No;Yes;No;60.0
2315;46.0;0.0;2150.0;2.0;No;No;No;No;Yes;No;67.0
2316;35.0;0.0;1700.0;2.0;Yes;No;No;No;No;No;78.0
2317;28.0;4.0;1650.0;1.0;Yes;No;Yes;No;No;No;65.0
2318;48.0;6.0;1500.0;1.0;No;No;No;Yes;No;No;56.0
2319;50.0;2.0;2000.0;2.0;No;Yes;No;No;No;No;64.0
2320;66.0;1.0;2200.0;3.0;Yes;No;No;No;No;No;89.0
2321;36.0;2.0;1550.0;1.0;Yes;No;No;No;No;No;74.0
2322;48.0;1.0;1250.0;2.0;Yes;No;No;No;No;No;53.0
2323;60.0;2.0;1350.0;1.0;Yes;No;No;No;No;No;47.0
2324;37.0;2.0;1250.0;1.0;Yes;No;No;No;No;No;69.0
2325;46.0;0.0;1200.0;1.0;No;No;No;No;No;No;45.0
2326;50.0;4.0;1700.0;2.0;No;Yes;No;No;No;No;56.0
2327;46.0;4.0;2800.0;3.0;Yes;No;No;No;No;No;88.0
2328;47.0;2.0;750.0;2.0;Yes;No;No;No;No;No;61.0
2329;23.0;1.0;1850.0;2.0;Yes;No;No;No;No;Yes;71.0
2330;33.0;4.0;1300.0;1.0;Yes;Yes;No;No;No;No;42.0
2331;45.0;0.0;1500.0;1.0;No;No;No;No;No;No;43.0
2332;53.0;1.0;2150.0;2.0;No;No;No;No;No;No;70.0
2333;41.0;0.0;1450.0;2.0;Yes;Yes;Yes;No;No;No;60.0
2334;40.0;1.0;2200.0;3.0;No;No;No;No;No;No;76.0
2335;33.0;3.0;1450.0;2.0;No;No;No;No;No;No;65.0
2336;51.0;3.0;1600.0;1.0;Yes;Yes;No;No;No;No;65.0
2337;42.0;5.0;2450.0;2.0;No;No;No;No;No;No;73.0
2338;47.0;2.0;2450.0;2.0;Yes;No;Yes;No;No;No;78.0
2339;46.0;0.0;2200.0;2.0;No;No;No;No;No;No;72.0
2340;47.0;0.0;1700.0;2.0;No;No;No;Yes;No;No;63.0
2341;35.0;4.0;1800.0;2.0;Yes;Yes;No;No;No;No;71.0
2342;46.0;0.0;1300.0;1.0;No;No;No;Yes;No;No;67.0
2343;46.0;6.0;1550.0;2.0;No;Yes;No;No;No;No;70.0
2344;53.0;3.0;2350.0;2.0;No;No;No;No;No;No;70.0
2345;40.0;1.0;1650.0;1.0;No;No;No;No;No;No;41.0
2346;46.0;3.0;2100.0;2.0;No;No;No;No;No;No;65.0
2347;46.0;0.0;2200.0;3.0;No;No;No;No;No;No;81.0
2348;43.0;4.0;1550.0;1.0;No;No;No;No;No;No;58.0
2349;41.0;4.0;1850.0;1.0;Yes;No;Yes;No;No;No;47.0
2350;44.0;1.0;1550.0;1.0;No;No;No;No;No;No;46.0
2351;54.0;2.0;1350.0;1.0;Yes;No;Yes;No;No;No;47.0
2352;42.0;0.0;2150.0;2.0;Yes;No;No;No;No;No;77.0
2353;29.0;4.0;2350.0;3.0;Yes;No;No;No;No;No;86.0
2354;47.0;4.0;900.0;1.0;No;No;No;No;No;No;52.0
2355;42.0;0.0;1500.0;2.0;Yes;No;No;Yes;No;No;57.0
2356;43.0;0.0;1300.0;1.0;No;No;No;No;No;No;63.0
2357;54.0;5.0;3050.0;3.0;Yes;No;No;No;No;No;93.0
2358;23.0;2.0;2150.0;2.0;No;No;No;No;No;No;68.0
2359;41.0;1.0;2100.0;3.0;Yes;No;No;No;No;No;84.0
2360;55.0;1.0;1250.0;1.0;No;No;No;No;No;No;57.0
2361;46.0;2.0;1350.0;2.0;No;No;No;No;No;No;52.0
2362;42.0;5.0;1100.0;1.0;Yes;No;No;Yes;No;No;55.0
2363;46.0;1.0;1300.0;1.0;Yes;No;No;No;No;No;59.0
2364;50.0;1.0;1550.0;1.0;No;No;No;No;No;No;45.0
2365;49.0;3.0;1450.0;1.0;Yes;Yes;No;Yes;No;No;56.0
2366;39.0;2.0;1450.0;1.0;Yes;No;No;No;No;No;69.0
2367;57.0;0.0;1350.0;1.0;Yes;No;No;No;No;No;70.0
2368;57.0;6.0;2950.0;3.0;No;No;No;No;No;No;86.0
2369;39.0;3.0;1400.0;1.0;No;No;No;No;No;No;57.0
2370;32.0;2.0;1300.0;2.0;Yes;No;No;No;No;No;57.0
2371;54.0;5.0;3150.0;3.0;No;No;No;No;No;No;84.0
2372;56.0;3.0;850.0;1.0;Yes;No;Yes;No;No;No;64.0
2373;34.0;2.0;1250.0;1.0;No;No;No;No;No;No;64.0
2374;37.0;3.0;2700.0;3.0;No;No;No;No;No;No;81.0
2375;37.0;3.0;1850.0;1.0;Yes;No;No;No;No;No;44.0
2376;47.0;1.0;1750.0;2.0;Yes;No;No;No;No;No;70.0
2377;49.0;0.0;1550.0;1.0;Yes;No;No;No;No;No;39.0
2378;63.0;1.0;1400.0;1.0;No;No;No;No;No;No;55.0
2379;51.0;1.0;1600.0;2.0;No;No;No;No;No;No;64.0
2380;44.0;1.0;1350.0;1.0;Yes;No;No;No;No;No;67.0
2381;41.0;0.0;2200.0;3.0;No;No;No;No;No;No;76.0
2382;50.0;3.0;1700.0;2.0;No;No;No;No;No;No;61.0
2383;37.0;0.0;1750.0;2.0;No;No;No;No;No;No;64.0
2384;47.0;3.0;1300.0;1.0;No;No;No;No;No;No;74.0
2385;47.0;5.0;2550.0;3.0;No;No;No;No;No;No;83.0
2386;49.0;2.0;2000.0;2.0;No;Yes;No;No;No;No;67.0
2387;53.0;3.0;1400.0;1.0;Yes;No;No;No;No;No;63.0
2388;58.0;6.0;2000.0;2.0;No;No;No;No;No;No;74.0
2389;46.0;4.0;2400.0;3.0;Yes;No;No;No;No;No;95.0
2390;52.0;0.0;1300.0;1.0;No;Yes;No;No;No;No;66.0
2391;44.0;3.0;2250.0;3.0;No;No;No;No;No;No;77.0
2392;40.0;2.0;1600.0;1.0;No;No;Yes;No;No;No;42.0
2393;60.0;0.0;1700.0;2.0;Yes;No;No;No;No;No;66.0
2394;53.0;0.0;1450.0;2.0;No;No;No;No;No;No;49.0
2395;47.0;0.0;1700.0;2.0;No;No;No;No;No;No;60.0
2396;46.0;5.0;2800.0;3.0;No;No;No;No;No;No;91.0
2397;33.0;2.0;2600.0;3.0;No;No;No;No;No;No;85.0
2398;51.0;1.0;1200.0;1.0;No;No;No;No;No;No;58.0
2399;52.0;1.0;1300.0;1.0;No;No;No;No;No;No;61.0
2400;47.0;0.0;1750.0;2.0;Yes;No;No;No;No;No;68.0
2401;43.0;0.0;1350.0;1.0;No;No;No;No;No;No;61.0
2402;50.0;1.0;1500.0;1.0;No;Yes;No;Yes;No;No;43.0
2403;35.0;4.0;1600.0;1.0;Yes;No;No;No;No;No;57.0
2404;39.0;4.0;1600.0;2.0;No;No;No;Yes;No;No;58.0
2405;50.0;1.0;1100.0;1.0;No;No;No;No;No;No;60.0
2406;50.0;2.0;1550.0;2.0;No;No;No;No;No;No;62.0
2407;46.0;2.0;1550.0;1.0;No;Yes;No;No;No;No;41.0
2408;31.0;3.0;1500.0;2.0;Yes;No;No;No;No;No;66.0
2409;49.0;0.0;2150.0;2.0;No;No;No;No;No;No;64.0
2410;40.0;0.0;1550.0;1.0;Yes;Yes;No;No;No;No;46.0
2411;45.0;0.0;1400.0;1.0;No;No;No;No;No;No;56.0
2412;40.0;5.0;2100.0;2.0;Yes;No;No;No;No;No;58.0
2413;51.0;5.0;2850.0;3.0;Yes;No;No;No;No;No;94.0
2414;32.0;1.0;1200.0;1.0;No;Yes;No;No;No;No;54.0
2415;48.0;5.0;1600.0;2.0;No;No;No;No;No;No;53.0
2416;48.0;6.0;1450.0;1.0;Yes;No;No;No;No;No;51.0
2417;55.0;1.0;1250.0;1.0;Yes;Yes;No;No;No;No;61.0
2418;57.0;0.0;1300.0;1.0;No;Yes;No;No;No;No;69.0
2419;42.0;0.0;1350.0;1.0;No;Yes;No;No;No;No;65.0
2420;59.0;2.0;1400.0;1.0;No;No;No;No;No;Yes;45.0
2421;53.0;0.0;2200.0;3.0;Yes;No;No;No;No;No;84.0
2422;36.0;2.0;1700.0;2.0;No;No;No;No;No;No;48.0
2423;43.0;1.0;2150.0;2.0;No;No;No;No;No;No;68.0
2424;34.0;3.0;2850.0;3.0;No;No;Yes;No;No;No;93.0
2425;44.0;4.0;3250.0;3.0;No;No;No;No;No;No;84.0
2426;44.0;0.0;1500.0;1.0;Yes;No;No;No;No;No;45.0
2427;66.0;1.0;2100.0;2.0;Yes;No;No;No;No;No;77.0
2428;44.0;1.0;1250.0;1.0;No;No;No;No;No;No;61.0
2429;38.0;3.0;2500.0;2.0;Yes;No;No;No;No;No;72.0
2430;54.0;4.0;2450.0;3.0;No;No;No;No;No;No;88.0
2431;37.0;3.0;2700.0;3.0;No;No;No;No;No;No;82.0
2432;42.0;5.0;1500.0;2.0;No;No;No;No;No;No;50.0
2433;51.0;3.0;1500.0;1.0;Yes;No;No;No;No;No;54.0
2434;40.0;3.0;1300.0;1.0;Yes;Yes;No;No;No;No;71.0
2435;45.0;2.0;1150.0;1.0;Yes;Yes;Yes;No;No;No;53.0
2436;45.0;0.0;1500.0;2.0;No;No;No;No;No;No;55.0
2437;62.0;7.0;1750.0;3.0;No;No;No;No;No;No;82.0
2438;64.0;5.0;1500.0;2.0;No;No;No;No;No;No;50.0
2439;44.0;1.0;1550.0;1.0;No;No;No;No;No;No;34.0
2440;46.0;1.0;1450.0;2.0;No;No;No;No;No;No;56.0
2441;57.0;3.0;1600.0;1.0;No;No;No;No;No;No;64.0
2442;40.0;5.0;1250.0;1.0;No;No;No;No;No;No;51.0
2443;40.0;3.0;2700.0;2.0;No;No;No;No;No;No;88.0
2444;36.0;3.0;2950.0;3.0;Yes;No;No;No;No;No;85.0
2445;51.0;2.0;1750.0;1.0;No;No;No;No;No;No;61.0
2446;41.0;2.0;1150.0;1.0;No;No;No;No;No;No;51.0
2447;55.0;3.0;1200.0;1.0;No;No;No;No;No;No;52.0
2448;51.0;0.0;1450.0;2.0;No;No;No;No;No;No;61.0
2449;53.0;2.0;1450.0;2.0;Yes;Yes;Yes;No;No;No;69.0
2450;45.0;0.0;1150.0;1.0;No;Yes;No;No;Yes;No;53.0
2451;53.0;0.0;2250.0;2.0;No;No;No;No;No;No;79.0
2452;38.0;4.0;1450.0;1.0;No;No;No;No;No;No;42.0
2453;49.0;4.0;3100.0;3.0;Yes;No;No;No;No;No;89.0
2454;30.0;5.0;1450.0;1.0;Yes;No;No;Yes;No;No;55.0
2455;34.0;0.0;1250.0;1.0;No;No;No;No;No;No;47.0
2456;54.0;6.0;1100.0;1.0;Yes;Yes;No;No;No;No;40.0
2457;50.0;0.0;1450.0;1.0;No;No;No;No;No;No;56.0
2458;50.0;5.0;2300.0;3.0;No;No;No;No;No;No;81.0
2459;49.0;0.0;1200.0;1.0;No;No;No;No;No;No;47.0
2460;46.0;3.0;1700.0;2.0;No;No;No;No;No;No;65.0
2461;33.0;0.0;1350.0;1.0;No;Yes;No;No;No;No;65.0
2462;41.0;1.0;1400.0;1.0;Yes;Yes;No;No;No;No;69.0
2463;37.0;0.0;1350.0;1.0;No;No;No;No;No;No;66.0
2464;52.0;3.0;2250.0;3.0;No;No;No;No;No;No;84.0
2465;55.0;4.0;1250.0;1.0;No;No;No;No;No;No;59.0
2466;47.0;2.0;2250.0;2.0;No;No;No;No;No;No;70.0
2467;58.0;1.0;1600.0;2.0;No;No;No;No;No;No;61.0
2468;36.0;0.0;1250.0;2.0;Yes;No;No;No;No;No;59.0
2469;54.0;3.0;1050.0;1.0;Yes;No;No;No;No;No;51.0
2470;62.0;2.0;2400.0;3.0;Yes;No;No;No;No;No;88.0
