возраст;образование;стаж;проживание;доход;статус;дефолт
44;среднее;24;10;101;непостоянный;нет
44;среднее специальное;21;14;113;непостоянный;нет
33;среднее;0;12;23;непостоянный;нет
35;среднее;7;14;29;непостоянный;нет
36;незак. высшее;10;4;43;непостоянный;нет
23;среднее специальное;3;4;24;непостоянный;нет
27;среднее;0;7;18;непостоянный;нет
34;среднее;6;1;20;непостоянный;нет
35;среднее;0;5;34;непостоянный;да
24;среднее специальное;4;4;20;непостоянный;нет
48;среднее;30;8;101;непостоянный;нет
26;среднее специальное;8;1;40;непостоянный;нет
40;среднее;6;9;36;непостоянный;да
34;среднее;9;8;48;непостоянный;нет
35;среднее;17;4;42;непостоянный;нет
30;среднее;7;2;33;непостоянный;да
20;среднее;4;0;14;непостоянный;да
36;высшее;1;17;30;непостоянный;нет
21;среднее;1;1;16;непостоянный;нет
34;среднее;18;10;53;непостоянный;нет
35;среднее;7;5;39;непостоянный;да
35;незак. высшее;1;4;20;непостоянный;нет
34;среднее;10;1;33;непостоянный;да
33;среднее;12;12;68;непостоянный;нет
30;среднее;4;2;18;непостоянный;нет
24;среднее специальное;0;5;16;непостоянный;нет
47;среднее;31;8;253;непостоянный;нет
53;среднее;0;26;27;непостоянный;да
22;незак. высшее;0;2;20;непостоянный;нет
48;среднее специальное;6;1;66;непостоянный;нет
36;среднее специальное;6;15;27;непостоянный;да
29;среднее специальное;6;4;21;непостоянный;нет
33;среднее;15;3;32;непостоянный;нет
45;среднее;19;22;77;непостоянный;нет
37;среднее;12;14;44;непостоянный;нет
